year,mileage,price,created_at
2012,245000,7376.36,2024-12-15 19:00:00
2012,304000,6435.75,2024-12-13 19:00:00
2012,347,6930.81,2024-11-22 19:00:00
2006,360000,5445.63,2024-12-11 19:00:00
2006,271000,5940.69,2024-12-09 19:00:00
2010,35000,7623.89,2024-12-14 19:00:00
2009,208000,8415.98,2024-12-10 19:00:00
2023,16000,12846.15,2024-11-19 19:00:00
2010,100000,7920.92,2024-12-09 19:00:00
2009,350000,6732.78,2024-11-19 19:00:00
2011,32000,11386.33,2024-11-24 19:00:00
2015,196000,9901.15,2024-12-06 19:00:00
2011,340000,5544.65,2024-12-14 19:00:00
2018,112000,10891.27,2024-11-27 19:00:00
2013,165000,7128.83,2024-11-30 19:00:00
2012,124000,8900.38,2024-12-16 19:00:00
2022,8260,13449.46,2024-12-14 19:00:00
2013,165000,8109.23,2024-12-16 19:00:00
2010,1386,14042.82,2024-12-16 19:00:00
2009,350,5933.58,2024-12-16 19:00:00
2012,176000,7911.45,2024-12-06 19:00:00
2012,150000,7614.77,2024-11-26 19:00:00
2011,170000,7142.06,2024-11-28 19:00:00
2009,110000,5933.58,2024-12-03 19:00:00
2011,170000,7318.09,2024-12-12 19:00:00
2007,430000,6153.85,2024-12-14 19:00:00
2016,188000,8702.59,2024-11-23 19:00:00
2009,405000,7120.30,2024-12-14 19:00:00
2022,58000,12954.99,2024-12-16 19:00:00
2020,183000,10383.77,2024-12-08 19:00:00
2022,8260,13449.46,2024-12-17 19:00:00
2006,10000,7911.45,2024-12-12 19:00:00
2013,165000,7568.85,2024-12-18 19:00:00
2012,124000,8904.53,2024-12-17 19:00:00
2010,400000,7618.32,2024-12-18 19:00:00
2020,110,12565.28,2024-12-12 19:00:00
2019,22800,12384.62,2024-11-29 19:00:00
2012,124000,8887.85,2024-12-21 19:00:00
2022,8260,13430.52,2024-12-20 19:00:00
2013,165000,7554.67,2024-12-20 19:00:00
2013,126000,7801.55,2024-12-21 19:00:00
2022,8260,13502.18,2025-01-01 19:00:00
2012,150000,7148.22,2025-01-02 19:00:00
2011,170000,7170.06,2024-12-27 19:00:00
2022,20000,12012.97,2024-12-28 19:00:00
2012,124000,8438.87,2024-12-27 19:00:00
2013,161000,7545.34,2024-12-14 19:00:00
2018,155000,9977.56,2025-04-26 19:00:00
2010,324000,5986.53,2025-05-03 19:00:00
2013,116500,7982.05,2025-04-29 19:00:00
2021,85000,11973.07,2025-04-30 19:00:00
2010,195000,6485.41,2025-04-10 19:00:00
2017,54000,6884.51,2025-05-02 19:00:00
2019,22800,12384.62,2025-04-22 19:00:00
2019,145200,10230.77,2025-04-27 19:00:00
2009,331,6285.86,2025-04-27 19:00:00
2011,430000,6485.41,2025-05-03 19:00:00
2022,20000,12072.84,2025-04-15 19:00:00
2012,84000,10975.31,2025-05-02 19:00:00
2012,240000,5722.33,2025-06-12 19:00:00
2010,144000,6847.23,2025-06-04 19:00:00
2007,430000,6153.85,2025-06-12 19:00:00
2013,61000,8314.50,2025-06-01 19:00:00
2021,25700,13205.38,2025-06-14 19:00:00
2013,300,6553.78,2025-05-30 19:00:00
2011,312000,6358.15,2025-06-07 19:00:00
2009,209000,6358.15,2025-05-25 19:00:00
2020,49000,11738.12,2025-06-07 19:00:00
2013,160000,7140.69,2025-05-29 19:00:00
2009,415000,6153.85,2025-06-10 19:00:00
2011,430000,6358.15,2025-06-02 19:00:00
2022,20000,11835.93,2025-06-14 19:00:00
2009,405000,7042.87,2025-06-12 19:00:00
2013,206000,8461.54,2025-06-16 19:00:00
2010,186000,9072.07,2025-06-18 19:00:00
2023,15500,12778.94,2025-06-18 19:00:00
2023,15500,12704.40,2025-06-19 19:00:00
2010,186000,9019.15,2025-06-19 19:00:00
2023,15500,12662.62,2025-06-19 19:00:00
2010,144000,6766.29,2025-06-04 19:00:00
2023,15500,12662.62,2025-06-20 19:00:00
2007,430000,6153.85,2025-06-12 19:00:00
2013,300,6476.30,2025-05-30 19:00:00
2011,312000,6282.98,2025-06-07 19:00:00
2013,61000,8216.20,2025-06-01 19:00:00
2013,160000,7056.27,2025-05-29 19:00:00
2013,206000,8461.54,2025-06-19 19:00:00
